text,label
"{'alternative': [{'transcript': 'maybe tomorrow it will be cold', 'confidence': 0.97219545}, {'transcript': ""maybe tomorrow it'll be cold""}, {'transcript': 'maybe tomorrow it will be cold but'}], 'final': True}",happy
"{'alternative': [{'transcript': ""we'll stop in a couple of minutes"", 'confidence': 0.93505764}, {'transcript': 'will stop in a couple of minutes'}, {'transcript': 'well stop in a couple of minutes'}, {'transcript': 'stop in a couple of minutes'}, {'transcript': ""we'll stop in a couple minutes""}], 'final': True}",happy
"{'alternative': [{'transcript': 'I would like a new alarm clock', 'confidence': 0.97219551}], 'final': True}",happy
"{'alternative': [{'transcript': ""it's 11:00"", 'confidence': 0.91087079}, {'transcript': 'its 11:00'}, {'transcript': 'is 11:00'}, {'transcript': ""it's 11 o'clock""}], 'final': True}",happy
"{'alternative': [{'transcript': ""I think I have a doctor's appointment"", 'confidence': 0.95919788}, {'transcript': 'I think I have a doctors appointment'}, {'transcript': ""I think I have a doctors' appointment""}], 'final': True}",happy
"{'alternative': [{'transcript': 'that is exactly what', 'confidence': 0.97219545}, {'transcript': 'that is exactly what happened'}, {'transcript': 'that is exactly what happens'}, {'transcript': 'that is exactly what happen'}, {'transcript': 'bed is exactly what'}], 'final': True}",happy
"{'alternative': [{'transcript': 'that is exactly what happened', 'confidence': 0.97219545}, {'transcript': 'that is exactly what happen'}, {'transcript': 'that is exactly what happened;'}], 'final': True}",happy
"{'alternative': [{'transcript': 'I wonder what this is about', 'confidence': 0.97219545}, {'transcript': 'I wonder with this is about'}, {'transcript': 'I wonder if this is about'}], 'final': True}",happy
"{'alternative': [{'transcript': ""don't forget a jacket"", 'confidence': 0.90787846}, {'transcript': ""don't forget jacket""}, {'transcript': ""don't forget it jacket""}, {'transcript': ""don't forget the jacket""}], 'final': True}",happy
"{'alternative': [{'transcript': 'that is exactly what happened', 'confidence': 0.97219545}], 'final': True}",happy
"{'alternative': [{'transcript': ""don't forget a jacket"", 'confidence': 0.93578899}, {'transcript': ""don't forget to jacket""}, {'transcript': ""don't forget the jacket""}, {'transcript': ""don't forget jacket""}, {'transcript': ""don't forget to check it""}], 'final': True}",happy
"{'alternative': [{'transcript': 'is 11:00', 'confidence': 0.87133944}, {'transcript': ""it's 11:00""}, {'transcript': 'is it 11:00'}, {'transcript': 'its 11:00'}, {'transcript': 'is its 11:00'}], 'final': True}",happy
"{'alternative': [{'transcript': ""it's 11:00"", 'confidence': 0.92692912}, {'transcript': 'its 11:00'}, {'transcript': 'is 11:00'}, {'transcript': ""it's 11 o'clock""}], 'final': True}",happy
"{'alternative': [{'transcript': ""I think I have a doctor's appointment"", 'confidence': 0.96301973}, {'transcript': 'I think I have a doctors appointment'}, {'transcript': ""I think I have a doctors' appointment""}], 'final': True}",happy
"{'alternative': [{'transcript': ""we'll stop in a couple of minutes"", 'confidence': 0.92961693}, {'transcript': 'will stop in a couple of minutes'}, {'transcript': 'well stop in a couple of minutes'}, {'transcript': ""we'll stop at a couple of minutes""}], 'final': True}",happy
"{'alternative': [{'transcript': ""I think I've seen this before"", 'confidence': 0.97219545}], 'final': True}",happy
"{'alternative': [{'transcript': 'maybe tomorrow it will be cold', 'confidence': 0.97219545}, {'transcript': 'maybe tomorrow it will be cold?'}], 'final': True}",happy
"{'alternative': [{'transcript': 'I wonder what this is about', 'confidence': 0.97219545}], 'final': True}",happy
"{'alternative': [{'transcript': ""don't forget a jacket"", 'confidence': 0.95285791}, {'transcript': ""don't forget it jacket""}, {'transcript': ""don't forget the jacket""}, {'transcript': ""don't forget jacket""}, {'transcript': ""don't forget to jacket""}], 'final': True}",happy
"{'alternative': [{'transcript': 'the airplane is almost full', 'confidence': 0.97219545}, {'transcript': 'the airplane is almost full?'}], 'final': True}",happy
"{'alternative': [{'transcript': 'well stop in a couple of minutes', 'confidence': 0.93392938}, {'transcript': 'will stop in a couple of minutes'}, {'transcript': ""we'll stop in a couple of minutes""}, {'transcript': 'stop in a couple of minutes'}], 'final': True}",happy
"{'alternative': [{'transcript': 'the surface is slick', 'confidence': 0.97207367}, {'transcript': 'the surface is Sleek'}, {'transcript': 'the surfaces slick'}, {'transcript': 'the surface is sick'}, {'transcript': 'the service is slick'}], 'final': True}",happy
[],happy
"{'alternative': [{'transcript': ""we'll stop in a couple of minutes"", 'confidence': 0.87495947}, {'transcript': ""we'll stop at a couple of minutes""}, {'transcript': 'will stop in a couple of minutes'}, {'transcript': 'will stop at a couple of minutes'}, {'transcript': 'well stop in a couple of minutes'}], 'final': True}",happy
[],happy
"{'alternative': [{'transcript': ""I think I've seen this before"", 'confidence': 0.97219545}, {'transcript': 'I think I seen this before'}, {'transcript': ""I think I've seen I've seen this before""}], 'final': True}",happy
"{'alternative': [{'transcript': 'the surface is slick', 'confidence': 0.94279683}, {'transcript': 'the service is slick'}, {'transcript': 'the surface is Sleek'}, {'transcript': 'the surface is sick'}, {'transcript': 'the service is Sleek'}], 'final': True}",happy
"{'alternative': [{'transcript': 'the surface is slick', 'confidence': 0.9418034}, {'transcript': 'the surface of slick'}, {'transcript': 'the service is slick'}, {'transcript': 'the surface is a slick'}], 'final': True}",happy
"{'alternative': [{'transcript': ""we'll stop in a couple of minutes"", 'confidence': 0.90012741}, {'transcript': ""what's up in a couple of minutes""}, {'transcript': 'will stop in a couple of minutes'}, {'transcript': 'well stop in a couple of minutes'}, {'transcript': ""let's talk in a couple of minutes""}], 'final': True}",happy
"{'alternative': [{'transcript': ""it's 11:00"", 'confidence': 0.94746363}, {'transcript': ""it's a 11:00""}, {'transcript': ""it's 11 o'clock""}, {'transcript': 'gets 11:00'}, {'transcript': ""it's 11:00 o'clock""}], 'final': True}",happy
"{'alternative': [{'transcript': 'the airplane is almost full', 'confidence': 0.97219545}], 'final': True}",happy
"{'alternative': [{'transcript': ""it's 11:00"", 'confidence': 0.95138878}, {'transcript': 'its 11:00'}, {'transcript': ""it's 11 o'clock""}, {'transcript': ""it's 11:00 o'clock""}, {'transcript': ""it's 11""}], 'final': True}",happy
"{'alternative': [{'transcript': ""I think I've seen this before"", 'confidence': 0.96748304}, {'transcript': 'I think I see this before'}, {'transcript': ""I think I've seen it before""}, {'transcript': 'I think I seen this before'}, {'transcript': ""I think I've seen it this before""}], 'final': True}",happy
"{'alternative': [{'transcript': 'that is exactly what happened', 'confidence': 0.97219545}], 'final': True}",happy
"{'alternative': [{'transcript': 'that is exactly what happened', 'confidence': 0.97219545}], 'final': True}",happy
"{'alternative': [{'transcript': ""don't forget a jacket"", 'confidence': 0.96476895}, {'transcript': ""don't forget to jacket""}, {'transcript': ""don't forget the jacket""}, {'transcript': ""don't forget jacket""}], 'final': True}",happy
[],happy
"{'alternative': [{'transcript': 'that is exactly what', 'confidence': 0.97219545}, {'transcript': 'that is exactly what happened'}, {'transcript': 'that is exactly what happens'}], 'final': True}",happy
"{'alternative': [{'transcript': ""it's 11:00"", 'confidence': 0.88907766}, {'transcript': 'its 11:00'}, {'transcript': 'at 11:00'}, {'transcript': ""it's 11:00 o'clock""}], 'final': True}",happy
"{'alternative': [{'transcript': 'that is exactly what happened', 'confidence': 0.97219545}], 'final': True}",happy
"{'alternative': [{'transcript': ""don't forget a jacket"", 'confidence': 0.95430136}, {'transcript': ""don't forget to jacket""}, {'transcript': ""don't forget jacket""}, {'transcript': ""don't forget the jacket""}, {'transcript': ""don't forget""}], 'final': True}",happy
